date,MortalityEveryone,MortalityFemales,MortalityMales,popshare-25,popshare25-44,popshare45-54,popshare55-64,popshare65-74,popshare75+,Rate85up,Rate75-84,Rate65-74,Rate55-64,Rate45-54,Rate25-44,Rate-25,Normalized85up,Normalized75-84,Normalized65-74,Normalized55-64,Normalized45-54,Normalized25-44,Normalized-25,Share-25,Share25-44,Share45-54,Share55-64,Share65-74,Share75-84,Share85up
1993/1/1 00:00,872.4,832.1,914.6,0.341221482,0.31836934,0.11100467,0.080871071,0.074887877,0.07364556,15336.7,5927.7,2609.7,1148.8,456.7,186.3,90.4,0.782544582,0.714740459,0.700722283,0.674020183,0.607879675,0.781787663,0.562538892,0.037324673,0.068626565,0.058105321,0.10649123,0.215035311,0.281253292,0.232940116
1994/1/1 00:00,865.7,829.4,903.8,0.338797389,0.315662469,0.114544112,0.080379192,0.075378536,0.075238302,15127.4,5830.7,2574.1,1120.6,457.3,188.7,87,0.771865194,0.703044553,0.69116344,0.657474771,0.608678291,0.791859001,0.541381456,0.036075128,0.069669337,0.060507838,0.104045469,0.212229168,0.280919564,0.236371838
1995/1/1 00:00,868,836.9,900.4,0.335827789,0.31319503,0.118175011,0.08003414,0.075822212,0.076945818,15248.6,5911.3,2549,1104.7,454.3,188.8,82.9,0.778049341,0.712763007,0.684423919,0.648145975,0.604685212,0.79227864,0.515868077,0.034088019,0.069206689,0.06184768,0.101859236,0.20798553,0.282067373,0.242745224
1996/1/1 00:00,858.8,836.2,882.3,0.332852469,0.310688882,0.121688322,0.080099145,0.07583911,0.078832072,15192.6,5905.9,2517.4,1082.6,440,172.4,78.6,0.775191979,0.712111895,0.675939103,0.635179535,0.585651537,0.723457826,0.489110143,0.032491608,0.063585189,0.06235349,0.100974645,0.204733247,0.286556731,0.249079142
1997/1/1 00:00,848.4,833.3,864.2,0.330860604,0.306712223,0.125294832,0.081016131,0.07549513,0.080621081,15211.2,5876.6,2484.9,1049.8,423.9,157.7,75.8,0.776141031,0.708579008,0.667212631,0.615935226,0.564222015,0.661770877,0.471686372,0.031609013,0.058311026,0.062604435,0.100245652,0.200615752,0.289740282,0.256700565
1998/1/1 00:00,846.7,838,855.8,0.329820249,0.301763373,0.127636465,0.083363104,0.075275497,0.082141312,15190.8,5922.8,2471.6,1015.7,415.8,153.7,73.8,0.775100135,0.714149635,0.66364149,0.595928186,0.553440703,0.644985313,0.459240821,0.030822469,0.056212071,0.062671355,0.099999315,0.196376435,0.291650979,0.26209153
1999/1/1 00:00,857,854.9,859.2,0.32846667,0.296529787,0.131084421,0.085213631,0.075008092,0.083697399,15554.6,6014.5,2457.3,1005,418.2,152.9,72.4,0.79366278,0.725206487,0.659801842,0.589650317,0.556635166,0.6416282,0.450528936,0.029872472,0.054496134,0.063968413,0.099932717,0.1892616,0.292126073,0.270193723
2000/1/1 00:00,854,855,853,0.327338756,0.292180638,0.133884219,0.086257265,0.075350229,0.084988894,15524.4,6016.5,2399.1,992.2,425.6,153.2,72.1,0.792121846,0.72544764,0.644174744,0.582140343,0.56648476,0.642887117,0.448662103,0.029847492,0.054194747,0.066715598,0.100212578,0.183580759,0.291445153,0.273855546
2001/1/1 00:00,848,849.9,846,0.326244889,0.2856052,0.138212487,0.088098351,0.075512919,0.086326154,15432.6,5973.7,2344.2,972.5,426.7,157.8,71.5,0.787437814,0.720286972,0.629433719,0.570582023,0.567948889,0.662190516,0.444928438,0.029805187,0.055187726,0.069551093,0.101033138,0.17834611,0.290482428,0.27541968
2002/1/1 00:00,849.5,849.8,849.2,0.324601815,0.280012998,0.139042737,0.092840727,0.075932282,0.087569441,15589.5,5993.8,2300.3,948.7,431,157.8,72.1,0.795443529,0.722710556,0.617646269,0.556618165,0.573672301,0.662190516,0.448662103,0.029912576,0.054225958,0.070551656,0.103684762,0.173116252,0.289620105,0.278742582
2003/1/1 00:00,843.9,843.9,843.9,0.322653617,0.274472321,0.140706094,0.096546636,0.076772524,0.088848808,15401.4,5951.3,2235,937.3,433.1,156.8,72.1,0.785845856,0.717586061,0.600112773,0.549929594,0.576467456,0.657994125,0.448662103,0.030025879,0.053409158,0.072205966,0.107225539,0.168892304,0.287149224,0.280952241
2004/1/1 00:00,818.8,816.2,821.6,0.320403202,0.26969306,0.14217615,0.10008461,0.077754082,0.089888896,16177.6,5817.4,2141,903.2,426.8,152,71.1,0.825450927,0.701440887,0.574873131,0.529922553,0.568081991,0.637851448,0.442439328,0.030436913,0.052648152,0.074114068,0.110400127,0.166693151,0.285379429,0.280183849
2005/1/1 00:00,828.4,825.1,831.7,0.317424472,0.265066112,0.143802088,0.103687905,0.078893863,0.09112556,15582.4,5851.8,2109.7,898.5,431.9,153.1,71.9,0.795081256,0.705588714,0.566468867,0.527164985,0.574870225,0.642467478,0.447417548,0.03024162,0.051760261,0.074970885,0.112458778,0.162725586,0.280498461,0.287240244
2006/1/1 00:00,813.1,806.9,819.6,0.31440587,0.260958926,0.145070621,0.107011604,0.08035764,0.092195339,15026.7,5746.1,2031.4,881.3,427.5,152.5,71.8,0.766727045,0.692843793,0.545444782,0.517073457,0.56901371,0.639949643,0.446795271,0.030579525,0.051929633,0.076261693,0.115981196,0.160779289,0.275047563,0.289330427
2007/1/1 00:00,804.6,796.4,813.1,0.311676871,0.256908184,0.145867818,0.109976766,0.082394045,0.093176315,15360.9,5687.1,1976,866.7,420.3,148.1,71.2,0.783779371,0.685729788,0.530569503,0.508507393,0.559430321,0.621485522,0.443061605,0.030519303,0.050409455,0.076199647,0.118458794,0.160595813,0.269290246,0.294443812
2008/1/1 00:00,812.9,805.8,820.3,0.308982392,0.252968741,0.146206278,0.112324041,0.085432048,0.0940865,15532.4,5748.1,1958.4,867.1,419.6,144,67.7,0.792530041,0.693084946,0.525843783,0.508742079,0.558498602,0.604280319,0.421281892,0.028575428,0.047995861,0.075462463,0.1198155,0.162452103,0.264386825,0.301252354
2009/1/1 00:00,794.5,782.1,807.2,0.306180661,0.24898821,0.146255711,0.115413579,0.088214699,0.094947141,14860.1,5620.2,1888.7,856.7,418.1,142.5,63.9,0.758226395,0.67766323,0.507128856,0.502640225,0.556502063,0.597985732,0.397635345,0.027461848,0.04807516,0.076961615,0.124450847,0.164548699,0.257564636,0.300832566
2010/1/1 00:00,799.5,787.4,812,0.303611564,0.246026691,0.145772847,0.118164393,0.090327912,0.096096593,15134.3,5640.2,1875.1,851.9,407.1,136.7,60.8,0.772217262,0.680074757,0.503477163,0.499823985,0.541860775,0.573646664,0.378344742,0.025818788,0.045491172,0.0742199,0.125910547,0.16494297,0.253460593,0.310104986
